Point ID,arc_length,Displacements_0,Displacements_1,Displacements_2,Points_0,Points_1,Points_2,Points_Magnitude
3687,2.89502620697,0.02708935551345,-0.1451881080866,0,2.242000102997,0.3761999905109,0,2.27334356308
3688,2.8957695961,0.02718447521329,-0.1452745646238,0,2.242500066757,0.3767499923706,0,2.273927688599
3689,2.896512985229,0.02727962099016,-0.1453610658646,0,2.243000030518,0.3772999942303,0,2.274511814117
3690,2.897256135941,0.02737479843199,-0.1454475820065,0,2.243499994278,0.3778499960899,0,2.275096178055
3691,2.89799952507,0.02747000195086,-0.1455341279507,0,2.243999958038,0.3783999979496,0,2.275680541992
3692,2.898742675781,0.02756523527205,-0.145620688796,0,2.244499921799,0.3789499998093,0,2.276265144348
3693,2.899486064911,0.02766049839556,-0.1457072794437,0,2.244999885559,0.3795000016689,0,2.276849746704
3694,2.900229454041,0.02775578945875,-0.1457939296961,0,2.245500087738,0.3800500035286,0,2.277434587479
3695,2.90097284317,0.02785110846162,-0.1458805799484,0,2.246000051498,0.3806000053883,0,2.278019428253
3696,2.901715993881,0.02794645540416,-0.1459672749043,0,2.246500015259,0.3811500072479,0,2.278604269028
3697,2.902459144592,0.02804183214903,-0.1460539847612,0,2.246999979019,0.3817000091076,0,2.279189348221
3698,2.903202533722,0.02813723683357,-0.1461407095194,0,2.24749994278,0.3822500109673,0,2.279774427414
3699,2.903945922852,0.02823267132044,-0.1462274491787,0,2.24799990654,0.3828000128269,0,2.280359506607
3700,2.904689311981,0.02832813374698,-0.1463142633438,0,2.248500108719,0.3833500146866,0,2.280945062637
3701,2.905432462692,0.02842361852527,-0.1464010626078,0,2.249000072479,0.3838999867439,0,2.281530380249
3702,2.906175851822,0.02851913869381,-0.146487891674,0,2.24950003624,0.3844499886036,0,2.282115697861
3703,2.906919002533,0.02861468680203,-0.1465747505426,0,2.25,0.3849999904633,0,2.282701253891
3704,2.907662391663,0.02871026471257,-0.1466616392136,0,2.25049996376,0.3855499923229,0,2.283286809921
3705,2.908405780792,0.02880586870015,-0.1467485576868,0,2.250999927521,0.3860999941826,0,2.28387260437
3706,2.909148931503,0.02890150435269,-0.1468354910612,0,2.251499891281,0.3866499960423,0,2.284458398819
3707,2.909892320633,0.02899716608226,-0.1469224989414,0,2.25200009346,0.3871999979019,0,2.285044431686
3708,2.910635709763,0.02909285761416,-0.1470094919205,0,2.25250005722,0.3877499997616,0,2.285630464554
3709,2.911378860474,0.02918857708573,-0.1470964998007,0,2.253000020981,0.3883000016212,0,2.286216497421
3710,2.912122249603,0.02928432449698,-0.1471835225821,0,2.253499984741,0.3888500034809,0,2.286802768707
3711,2.912865638733,0.02938010171056,-0.1472705900669,0,2.253999948502,0.3894000053406,0,2.287389039993
3712,2.913608789444,0.02947590500116,-0.1473576724529,0,2.254499912262,0.3899500072002,0,2.287975311279
3713,2.914352178574,0.02957173809409,-0.1474448442459,0,2.255000114441,0.3905000090599,0,2.288562059402
3714,2.915095567703,0.0296675991267,-0.1475319862366,0,2.255500078201,0.3910500109196,0,2.289148569107
3715,2.915838718414,0.02976348996162,-0.1476191431284,0,2.256000041962,0.3916000127792,0,2.289735078812
3716,2.916582107544,0.02985940873623,-0.1477063298225,0,2.256500005722,0.3921500146389,0,2.290321826935
3717,2.917325258255,0.02995534986258,-0.147793546319,0,2.256999969482,0.3926999866962,0,2.290908575058
3718,2.918068647385,0.03005132637918,-0.1478807777166,0,2.257499933243,0.3932499885559,0,2.2914955616
3719,2.918811798096,0.03014733083546,-0.1479680538177,0,2.257999897003,0.3937999904156,0,2.292082548141
3720,2.919555425644,0.03024336323142,-0.1480554044247,0,2.258500099182,0.3943499922752,0,2.292669773102
3721,2.920298576355,0.0303394254297,-0.1481427252293,0,2.259000062943,0.3948999941349,0,2.293256998062
3722,2.921041965485,0.03043551556766,-0.148230060935,0,2.259500026703,0.3954499959946,0,2.293844223022
3723,2.921785116196,0.0305316336453,-0.1483174413443,0,2.259999990463,0.3959999978542,0,2.294431447983
3724,2.922528505325,0.03062778152525,-0.1484048366547,0,2.260499954224,0.3965499997139,0,2.295018911362
3725,2.923271656036,0.03072395734489,-0.1484922617674,0,2.260999917984,0.3971000015736,0,2.295606374741
3726,2.924015045166,0.03082016296685,-0.1485797166824,0,2.261499881744,0.3976500034332,0,2.296194076538
3727,2.924758434296,0.03091639466584,-0.1486672312021,0,2.262000083923,0.3982000052929,0,2.296782016754
3728,2.925501823425,0.03101265802979,-0.1487547457218,0,2.262500047684,0.3987500071526,0,2.297369718552
3729,2.926244974136,0.03110894747078,-0.1488422751427,0,2.263000011444,0.3993000090122,0,2.297957658768
3730,2.926988363266,0.03120526485145,-0.148929849267,0,2.263499975204,0.3998500108719,0,2.298545598984
3731,2.927731513977,0.03130161389709,-0.1490174382925,0,2.263999938965,0.4004000127316,0,2.299133777618
3732,2.928474903107,0.03139798715711,-0.1491050422192,0,2.264499902725,0.4009500145912,0,2.299721956253
3733,2.929218292236,0.03149438276887,-0.1491927057505,0,2.265000104904,0.4014999866486,0,2.300310373306
3734,2.929961681366,0.03159081563354,-0.1492803543806,0,2.265500068665,0.4020499885082,0,2.300898790359
3735,2.930704832077,0.03168727457523,-0.1493680477142,0,2.266000032425,0.4025999903679,0,2.301487207413
3736,2.931447982788,0.03178376331925,-0.1494557708502,0,2.266499996185,0.4031499922276,0,2.302075624466
3737,2.932191371918,0.0318802818656,-0.1495435088873,0,2.266999959946,0.4036999940872,0,2.302664279938
3738,2.932934761047,0.03197682648897,-0.1496312767267,0,2.267499923706,0.4042499959469,0,2.30325293541
3739,2.933677911758,0.03207340463996,-0.1497190594673,0,2.267999887466,0.4047999978065,0,2.303841590881
3740,2.934421539307,0.03217000514269,-0.1498069018126,0,2.268500089645,0.4053499996662,0,2.30443072319
3741,2.935164690018,0.03226663917303,-0.1498947441578,0,2.269000053406,0.4059000015259,0,2.305019855499
3742,2.935907840729,0.03236329928041,-0.1499826014042,0,2.269500017166,0.4064500033855,0,2.30560874939
3743,2.936651229858,0.03245998546481,-0.1500705033541,0,2.269999980927,0.4070000052452,0,2.306197881699
3744,2.937394618988,0.03255670145154,-0.1501584202051,0,2.270499944687,0.4075500071049,0,2.306787252426
3745,2.938137769699,0.03265345096588,-0.1502463668585,0,2.270999908447,0.4081000089645,0,2.307376384735
3746,2.938881158829,0.03275022283196,-0.1503343880177,0,2.271500110626,0.4086500108242,0,2.3079662323
3747,2.939624547958,0.03284702822566,-0.1504223942757,0,2.272000074387,0.4092000126839,0,2.308555603027
3748,2.940367698669,0.03294385969639,-0.1505104154348,0,2.272500038147,0.4097500145435,0,2.309145212173
3749,2.941111087799,0.03304071351886,-0.1505984514952,0,2.273000001907,0.4102999866009,0,2.30973482132
3750,2.941854476929,0.03313760086894,-0.1506865173578,0,2.273499965668,0.4108499884605,0,2.310324668884
3751,2.94259762764,0.03323451802135,-0.1507746130228,0,2.273999929428,0.4113999903202,0,2.310914516449
3752,2.943340778351,0.03333146125078,-0.1508627533913,0,2.274499893188,0.4119499921799,0,2.311504364014
3753,2.944084405899,0.03342843428254,-0.1509509533644,0,2.275000095367,0.4124999940395,0,2.312094688416
3754,2.94482755661,0.03352543711662,-0.1510391384363,0,2.275500059128,0.4130499958992,0,2.312684774399
3755,2.94557094574,0.03362246602774,-0.1511273384094,0,2.276000022888,0.4135999977589,0,2.313274860382
